Target,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,CAT
351.2,10000,2232,1392,2,7,3,1,1,1,0,No
365.1,5058,3362,1763,2,8,4,2,0,1,0,Yes
330,6330,2644,1386,1.5,6,3,1,0,1,0,No
354.1,4984,2441,1464,2,7,3,1,1,1,1,Yes
335.8,6111,2262,1740,1,7,3,1,1,1,1,No
345,20000,1754,845,1.5,6,3,1,0,1,0,No
356.4,5967,3442,1836,2,8,3,2,0,1,0,Some
379,7940,3894,2436,2,8,4,2,0,1,1,No
352.1,6003,2178,1350,2,7,3,2,0,1,0,No
437.3,7000,2628,1680,2,6,3,2,1,1,0,No
404.2,5488,3780,1992,1.5,8,4,2,1,1,1,Yes
283.4,4774,3128,1470,1,5,2,1,0,1,1,No
326.4,6029,2620,1265,1.5,6,3,1,1,1,0,No
309.2,5057,2244,1224,1.5,7,3,2,0,1,0,No
332.9,5682,2484,1488,2,7,3,1,1,1,0,No
260.4,3819,2468,1299,1.5,6,3,1,0,1,0,No
339.3,5651,2454,1306,1.5,6,3,2,1,1,1,Yes
307.9,5005,2078,1369,2,6,3,1,0,1,0,Some
346.3,8145,2664,1546,1.5,6,3,1,0,1,1,Yes
479.1,9642,2952,1872,2,7,4,2,1,1,1,No
335.6,6475,2684,1265,1.5,6,3,1,1,1,0,No
261.5,4175,1536,768,1,4,2,1,0,1,0,No
355.1,5400,2650,1224,1.5,7,3,2,0,1,1,Yes
356.8,5005,2660,1680,2,6,3,2,1,1,1,No
287.3,3288,2764,1503,1.5,7,3,2,1,1,1,No
331.9,5400,2536,1224,1.5,6,3,1,0,1,1,No
387.1,8238,3972,1922,1,9,4,2,0,1,1,No
307.6,5092,2539,1306,1.5,6,3,2,0,1,0,Some
360.9,5400,2508,1440,2,6,3,3,0,1,0,Yes
466.1,8970,2952,1872,2,7,4,2,1,1,1,No
340,5400,2714,1376,1.5,6,3,1,0,1,1,Yes
303.9,8200,2608,1304,1,6,2,2,0,1,1,Yes
303.5,4200,2670,1710,2,10,4,1,1,1,1,No
301.4,6444,2886,1474,1.5,6,3,1,1,1,1,No
339.9,5035,3264,1523,1,6,2,1,0,1,0,Yes
281.3,3960,2590,1630,2,8,4,2,1,1,1,No
530.1,6227,4013,2359,2,8,4,2,1,1,0,No
310.4,3150,2456,1620,2,7,4,1,1,1,1,Some
344.6,8151,4532,2056,1,5,2,1,2,1,1,No
525.1,6257,4124,2494,2,9,4,2,0,1,1,No
285.3,5024,2556,1306,1.5,6,3,2,0,1,0,No
302.3,4200,2272,1352,2,8,3,1,0,1,1,Yes
243.3,3150,2496,1420,1.5,4,2,1,0,1,1,No
334.9,6012,3185,1911,2,7,3,1,1,1,0,No
327.5,5968,3216,1839,2,7,3,1,1,1,0,No
586.6,8890,4791,2774,2,9,4,3,1,1,1,No
347.3,7355,3516,1980,2,7,3,1,1,1,0,No
267.6,5077,876,876,1,5,2,1,0,1,0,No
274.2,3617,2784,1435,1.5,5,2,1,1,1,1,No
404.6,6253,3077,1989,1,6,4,3,0,1,1,Yes
339.9,6300,1730,1625,1,7,4,1,1,1,1,No
420.8,7861,4182,2888,1,12,4,2,1,1,0,No
283.5,4200,2488,1484,2,6,3,1,1,1,0,No
620.3,6255,6016,3446,2,10,4,3,1,1,2,No
346.3,4050,2756,1150,1,6,3,1,1,1,1,Yes
295.07,5131,1840,1486,1.5,6,4,2,0,1,0,Some
297.6,3628,2736,1680,2,7,3,1,1,1,1,No
310.7,6001,2124,2074,1,10,4,2,0,2,2,No
442.6,4800,3960,2282,2,6,3,2,1,1,1,No
277.5,4050,2108,1014,1,6,3,1,1,1,1,No
310.6,3639,2784,1421,1.5,7,3,1,1,1,1,Some
327.1,6754,2705,1340,1,6,3,1,0,1,1,No
307.5,2100,2244,1400,2,6,3,1,1,1,1,No
243.3,4200,2508,1120,1,6,3,1,1,1,1,No
352.8,6001,1964,1826,1,8,3,1,1,1,1,Yes
258.6,5460,2188,1080,1,6,2,1,0,1,1,No
295.5,4050,2592,1387,1.5,6,3,1,1,1,1,No
490.7,6011,4368,2483,2,9,3,2,1,1,1,No
330.3,6317,2385,1440,2,6,3,1,1,1,0,No
290.8,6850,2568,1414,1.5,6,2,1,1,1,1,No
350.7,9600,4063,1636,1,9,3,2,0,2,0,No
301.1,6000,2098,1696,1,7,5,1,1,1,2,No
278.7,6400,2161,1633,1,8,4,2,0,1,1,Some
298.2,5824,2696,1120,1,6,3,1,0,1,0,No
249,4200,1976,988,1,5,2,1,0,1,1,No
287.5,6000,2347,1781,1,8,4,1,1,1,0,No
434.3,13267,3813,1931,1.5,6,2,1,1,1,1,Yes
508.8,3911,3836,2416,2,7,4,3,1,1,1,No
338.8,10537,2100,1380,2,7,3,1,1,1,1,No
363.5,7468,2815,2035,2,10,4,2,1,1,0,Yes
335.3,6400,3404,2612,1,7,4,1,1,1,1,Some
353.5,12600,2910,1347,1,6,3,1,1,1,1,No
291.5,6000,2080,2028,1,8,4,1,1,1,0,No
325.8,4900,2835,1659,2,8,4,2,0,1,1,No
368.2,7200,3223,1669,2,7,3,1,1,1,0,Yes
361.7,6000,2530,1590,2,7,4,2,0,1,0,No
286.3,6000,2296,1781,1,8,4,1,1,1,0,No
315.7,6400,2198,1633,1,8,3,1,1,1,1,Some
282.4,7770,1800,900,1,5,2,1,0,1,1,No
337.5,5914,2594,1131,1,6,3,1,0,1,0,No
320.1,5290,2800,1824,2,7,4,2,0,1,0,Yes
272.9,2800,2663,1430,2,6,3,1,1,1,0,No
243.2,4868,1628,800,1,5,2,1,0,1,1,No
305,7448,2358,1306,1.5,8,3,2,0,1,1,No
277.7,2800,2324,1306,1.5,7,3,2,0,1,1,No
316.9,4449,2302,1208,1.5,6,3,1,2,1,0,Yes
297.1,6000,2456,1997,1,7,3,1,1,1,0,No
467,4800,3924,2206,2,9,4,2,2,1,1,No
302.4,7440,2040,900,1,6,3,1,0,1,0,No
253.2,4200,2507,1403,1.5,6,2,2,0,1,1,No
375.1,6000,2370,1590,2,7,4,2,1,1,0,No
242.9,4151,2068,1248,2,7,3,1,0,1,0,No
307.1,6000,2308,2009,1,9,3,2,0,1,0,No
274.1,6781,2064,1000,1,5,2,1,0,1,1,No
237,3200,1292,1020,2,6,3,1,0,1,0,Some
253,6300,2507,1155,1,6,3,1,0,1,1,No
299.4,6081,2212,1082,1,5,3,1,1,1,1,No
286.9,7912,1848,864,1,6,3,1,0,1,1,No
327.5,6000,2466,1590,2,7,3,1,1,1,0,No
367.5,4895,2728,1800,2,7,4,2,1,1,1,No
308,5160,2658,1452,2,7,3,2,0,1,0,No
516.7,6000,4623,2597,2,11,4,2,1,1,1,No
348.7,7000,2467,1954,1,9,4,2,0,1,1,No
367.1,6750,2216,1216,1,8,3,2,0,2,1,No
299.4,3900,3475,1754,2,7,3,2,1,1,0,Some
296.5,7416,2164,1082,1,6,2,1,1,1,0,No
360,4544,2704,1800,2,6,3,2,1,1,1,No
325.9,3500,2632,1632,2,6,3,2,0,1,1,Some
360.8,6000,2466,1590,2,7,4,1,1,1,0,Some
283,3200,2120,1410,2,7,3,1,1,1,1,Some
368,2295,2718,1728,2,7,3,2,1,1,1,No
297.8,7442,2438,1204,1,6,3,1,0,1,1,No
239.9,2800,2364,1306,1.5,7,3,1,0,1,0,No
293.7,6548,2164,1082,1,5,2,1,0,1,1,No
412.4,6000,2991,1680,2,6,3,1,1,1,1,No
382,7300,2524,1590,2,7,4,1,1,1,0,No
275,4294,2295,1470,2,7,3,1,1,1,1,No
318.2,8001,3228,1408,1,5,2,1,0,1,0,No
266.3,6089,2180,1082,1,5,3,1,0,1,0,No
282.2,4392,2773,1568,2,7,3,1,0,1,0,No
325.2,5950,2448,2293,1,8,3,1,1,2,0,No
287.8,6750,2060,960,1,6,3,1,0,1,1,No
354.2,6000,2936,1650,2,8,3,2,0,1,0,No
289.5,4335,2087,1326,2,7,3,1,1,1,1,Some
186.3,4300,1926,960,1,5,2,1,0,1,1,No
398.1,7287,2892,1800,2,6,3,2,0,1,0,No
283.5,4824,1795,933,1.5,7,3,2,0,1,0,No
254.5,5095,2184,1082,1,5,3,1,0,1,1,No
303.9,6000,1904,1228,2,6,3,1,1,1,0,No
262.1,2100,1800,972,1.5,6,3,1,1,1,0,Yes
273.1,7258,1992,900,1,5,2,1,0,1,1,No
210.9,4281,2047,900,1,5,2,1,0,1,0,No
272.4,4416,2413,1083,1,8,3,1,1,1,1,No
279.6,6026,2376,1487,1,9,3,1,1,1,0,No
348.9,5300,2616,1966,1,8,3,1,1,1,0,No
325.2,6750,2710,1305,1.5,6,3,1,1,1,1,No
323,2100,2414,1544,2.5,6,3,1,0,1,0,Yes
337.3,6730,2926,1871,2,7,3,2,1,1,0,Some
182.7,1616,1439,856,2,5,2,1,0,1,0,No
285.8,5144,2732,1539,1.5,6,3,1,1,1,0,No
259,4200,2962,1744,2,6,3,1,0,1,0,No
331.1,5307,2232,1726,1,8,4,1,1,2,0,No
329.2,5663,2212,1320,2,7,3,1,1,1,0,No
239.3,3420,2107,1310,2,6,3,1,0,1,0,No
272,6073,1928,900,1,5,2,1,0,1,1,No
207.9,2968,2027,938,1.5,5,2,1,0,1,0,No
294.4,6750,2216,1000,1,5,2,1,1,1,1,No
312.5,6099,2638,2156,1,6,3,2,0,1,0,No
401.7,8056,3156,1976,2,8,4,2,1,1,1,No
288.5,3150,2342,1467,2,7,4,1,1,1,0,No
305.4,6291,2126,1380,2,6,3,1,1,1,0,No
283.9,4200,2697,1552,2,7,3,1,0,1,0,No
272.2,5507,2592,1469,1.5,7,2,2,0,1,0,No
271.3,5769,2136,1487,1,6,2,1,1,1,0,No
300.2,6444,2808,1469,1.5,6,2,2,0,1,0,No
279.8,6720,2492,1246,1,6,3,1,0,1,1,No
509.4,24677,6100,2601,1.5,8,5,3,0,1,0,Yes
298.9,7133,2408,1008,1,6,3,1,0,1,1,No
325,3850,2235,1276,2,8,3,1,1,1,0,Some
356,6750,2526,1200,1,7,3,1,0,1,1,Yes
241.3,3360,2119,1105,1.5,6,2,1,1,1,0,No
314.3,7109,2239,1380,2,8,3,1,1,1,0,No
366.3,6327,3156,1976,2,7,4,2,1,1,1,No
323.1,5643,3048,1896,2,8,4,1,1,1,0,No
286.9,6044,2634,1469,1.5,5,2,1,0,1,0,No
293.2,7408,2459,984,1,5,2,1,1,1,1,No
293.8,5835,2680,1469,1.5,6,3,1,1,1,0,No
167.6,1980,1502,690,1,3,1,1,0,1,0,No
253.3,3402,2057,1350,2,6,3,1,1,1,0,No
269.3,3850,1816,1152,2,6,2,1,0,1,0,No
310.2,7200,2370,1364,2,5,2,1,1,1,0,No
217.9,3360,2160,1008,1,6,3,1,0,1,1,No
395,4291,2815,1684,2,6,3,1,1,1,0,No
298.5,6514,2118,1380,2,8,3,1,1,1,0,No
561.8,9604,3960,2455,2,8,4,2,1,1,1,No
220,3205,2117,1061,1.5,6,3,1,0,1,0,No
334.4,7622,2896,1510,1.5,6,3,1,1,1,1,No
331.2,7796,2760,1469,1.5,7,3,2,0,1,0,No
311.9,6750,2336,1140,1,7,2,2,0,1,2,No
286.3,3628,2232,1056,1,5,2,1,0,1,1,Yes
311.9,13209,2304,1075,1,6,3,1,1,1,1,No
144.6,1017,1293,797,1.5,5,2,1,0,1,0,No
292.5,5602,2643,1469,1.5,6,2,1,1,1,0,No
233.7,3360,2409,1008,1,6,3,2,1,1,1,No
287.8,6000,2116,1726,1,6,4,2,0,2,0,No
309.5,5958,2431,1560,2,6,3,1,1,1,0,No
278.4,4343,2064,912,1,6,3,2,0,1,1,No
222.4,3850,1832,1188,2,5,2,1,1,1,0,No
319.9,6539,3045,1712,1.5,8,1,1,0,1,1,Yes
306.5,6021,2092,1016,1,6,3,2,0,1,1,No
240.9,3728,1698,936,1.5,6,3,1,0,1,0,No
270.7,5013,2339,1497,2,6,3,1,0,1,0,No
314.2,3486,2344,1713,1,8,4,2,0,1,1,No
306.5,6000,1984,968,1,6,3,2,0,2,1,No
402.5,5981,3434,2369,2,9,4,2,0,1,1,Yes
358.4,12853,2329,1625,2,7,4,2,0,1,1,Yes
309.1,6794,2260,1577,1,8,3,1,1,1,0,No
348.9,4311,2972,1529,1.5,6,3,1,1,1,1,No
331.3,8323,2116,1966,1,8,4,1,1,2,0,No
562,7682,4184,2724,2,8,4,2,1,1,1,No
246.4,3780,2412,1008,1,6,2,2,0,1,1,No
298,5931,2912,1533,1.5,8,3,1,1,1,0,No
287.2,6750,2344,1000,1,5,2,1,0,1,1,No
279.4,6540,2304,1075,1,6,3,1,0,1,1,No
308.9,13051,2324,1075,1,6,3,1,0,1,1,No
273.6,4200,2428,1075,1,7,3,1,0,1,1,No
400.8,4117,2744,2079,2,7,3,2,0,1,1,No
338,6000,2244,2134,1,7,3,1,1,1,0,No
294.3,4486,2612,1378,1.5,6,3,1,1,1,1,No
357.7,6057,2636,1966,1,6,3,1,0,1,0,Yes
319.1,4386,2504,1313,1.5,7,3,2,0,1,0,No
206,2436,2476,1265,1.5,5,3,1,0,1,0,No
282.1,4603,2531,1426,2,7,3,1,1,1,0,Some
282.4,5401,2016,968,1,5,3,1,0,1,1,No
293.9,5110,2412,1306,1.5,6,3,1,1,1,1,No
322.4,5981,2504,1506,1.5,7,3,1,0,1,1,No
337.2,13250,2508,1075,1,6,3,1,1,1,1,No
313.7,4288,2368,1368,2,9,4,1,1,1,1,No
280.2,4200,2164,1200,2,6,3,1,1,1,1,No
297.8,5975,2628,1469,1.5,7,3,2,0,1,0,No
474.4,5604,3526,2118,2,8,4,2,1,1,0,No
269,5301,3714,2428,2,9,5,2,0,1,0,No
313.6,4998,2203,1589,1,7,3,1,1,1,2,No
322.1,7163,2116,1487,1,7,3,1,1,1,0,No
204.9,4200,2296,990,1,5,3,1,0,1,1,No
563.1,9021,4065,2605,2,8,4,2,1,1,1,No
313.1,4696,2184,1368,2,7,4,1,1,1,1,No
282.5,6000,2212,1538,1,8,3,1,1,1,0,No
337,6047,2568,1490,1.5,7,3,2,0,1,1,Yes
331.2,13494,2340,1306,1.5,6,3,2,0,1,1,No
311.1,6000,2140,1966,1,7,3,2,0,1,0,No
355.9,5998,2184,1726,1,8,4,2,0,1,0,Yes
315,6725,2064,1372,2,6,3,1,1,1,1,No
177.4,3624,821,600,1,5,2,1,0,1,0,No
298.1,6000,2212,1692,1,7,3,1,1,1,0,No
331,3603,3063,1612,2,5,2,1,0,1,0,Yes
396.8,14065,2424,1306,1.5,9,3,2,1,1,1,Yes
349.3,5050,3502,1842,2,9,3,1,1,1,0,Yes
338.2,9733,2902,1377,1.5,6,3,2,0,1,0,No
276.6,4200,2000,1200,2,6,3,1,1,1,1,No
255,4200,1940,970,1,7,3,1,1,1,1,No
277.7,4759,1989,918,1,5,3,1,1,1,1,No
347.9,4269,2236,1368,2,6,4,1,1,1,1,No
440.2,8247,3210,1980,2,7,3,1,0,1,1,Yes
357.3,7939,2136,1726,1,9,4,1,1,1,0,No
558.8,8317,4133,2605,2,8,4,2,1,1,1,No
305,3861,2191,1369,2,7,4,1,1,1,1,No
322.4,4265,2307,1350,2,6,3,1,1,1,0,Yes
105,997,1319,504,1,4,2,1,0,1,0,No
380.6,6074,2668,2014,1,8,3,2,0,2,1,Yes
350.1,14707,3057,1529,1.5,7,4,2,0,1,1,No
302.8,5975,2326,1380,2,7,3,1,1,1,0,No
310.7,6465,1948,1404,1,5,3,1,1,1,1,No
290.2,6000,2212,1692,1,7,3,1,1,1,0,No
320.2,6047,2486,1387,1.5,6,3,2,0,1,1,Yes
313.6,8104,3202,1492,1,5,3,1,1,1,1,No
320,4411,2284,1558,1,7,3,1,1,1,2,No
282.2,5823,2100,1320,2,6,3,1,1,1,0,No
287.4,5277,2092,952,1,7,3,1,1,1,1,No
336.6,4200,3870,1953,1.5,7,3,1,1,2,0,No
307.2,6100,2184,1583,1,8,3,1,1,1,0,No
277,4749,1953,1404,1,7,3,1,1,1,1,No
347.2,10050,3104,1706,2,8,3,1,2,1,1,No
201,4435,2823,1637,2,7,4,1,1,1,0,No
353.5,9747,2100,1726,1,9,4,2,0,2,0,Some
423.4,9730,2776,2188,1,8,3,2,0,2,0,No
323.5,6022,3246,1679,1.5,7,3,1,1,1,0,No
576,6864,5122,3108,2,8,4,2,1,1,1,No
301.1,6271,1530,1360,1,8,4,2,0,1,1,No
374,7550,2623,1306,1.5,6,3,1,0,1,1,Yes
300,5975,2736,1469,1.5,7,3,1,1,1,0,No
348.8,5999,2556,1966,1,7,3,1,1,1,0,No
308.6,5742,2120,1320,2,7,3,1,1,1,0,No
320.9,8088,2240,1726,1,8,3,2,0,1,0,No
326.8,4880,2556,1354,1.5,6,3,2,0,1,1,Some
354.4,6710,3196,1786,2,7,3,2,0,1,0,Yes
265.3,7045,2697,1378,1.5,6,3,1,1,1,0,No
376.2,2700,2448,1536,2,8,3,2,1,1,1,No
296.9,4659,1984,1404,1,5,3,1,0,1,1,No
252.985,7270,2210,1326,2,7,3,1,1,1,0,No
339.1,5273,2769,1734,2,7,5,2,0,1,1,Yes
299.4,4949,2088,1726,1,6,3,2,0,1,0,Yes
323.5,5204,2508,1402,1.5,6,3,1,1,1,1,No
359.3,5918,2574,1930,1,8,4,2,0,2,0,No
361.7,5376,2156,1370,2,7,4,1,1,1,0,Yes
256.4,2410,2535,1632,2,7,3,2,0,1,0,No
236.7,3248,1620,1270,2,6,3,1,0,1,0,No
250.3,4270,2017,1232,2,6,3,1,0,1,0,No
340.7,5941,2712,1469,1.5,7,3,2,0,1,0,Yes
312.5,5939,3160,1609,1.5,7,3,1,1,1,0,No
287.4,6100,2076,1701,1,7,3,1,1,1,0,No
320.8,6000,2425,1151,1,7,3,1,1,1,1,No
329.4,6043,2628,1536,1.5,7,4,1,0,1,1,No
307.4,10067,2238,1726,1,8,4,1,1,1,0,No
327,10030,2344,1275,1.5,6,3,1,0,1,1,No
406.9,6756,2604,1680,2,7,3,2,0,1,1,No
270.4,5246,2568,1360,1.5,6,3,2,0,1,1,No
278.6,6076,2264,1320,2,6,3,1,1,1,1,No
392,5671,3412,2010,2,9,4,2,0,1,1,Some
310.7,4407,1968,1404,1,6,3,1,1,1,0,No
283,4514,2140,1404,1,5,3,1,1,1,1,No
353.5,5885,2418,1930,1,9,4,2,0,2,0,No
302.3,6043,2244,1641,1,8,3,2,0,1,0,No
424.9,5518,2500,1560,2,6,3,1,1,1,0,No
348.3,5441,2416,1726,1,8,4,2,0,1,1,Yes
354.3,9351,2296,1247,1,7,4,1,1,1,0,No
297.9,5151,2652,1469,1.5,7,3,2,0,1,0,No
327.2,6042,2840,1550,1.5,7,3,1,0,1,1,No
306.1,6877,2240,1808,1,6,3,1,1,1,0,No
428.2,5965,2998,1637,1.5,8,3,3,0,1,1,Some
366.3,5662,2805,1750,2,7,4,2,0,1,1,Yes
263.1,5273,2448,1306,1.5,6,2,1,0,1,1,No
388.7,5775,2906,1469,1.5,8,3,3,0,1,0,No
313.6,5715,2540,1940,2,6,3,1,1,1,1,No
263,4473,1961,1404,1,7,4,1,1,1,0,No
241.3,4410,1964,1404,1,7,3,1,1,1,0,No
326,6194,2816,1311,1,5,2,1,0,1,1,No
301,6200,2067,1726,1,6,3,2,0,1,0,Some
272.6,5246,2488,1306,1.5,7,4,2,0,1,1,No
301.6,6000,2166,1726,1,6,3,1,1,1,0,No
366.8,7128,2156,1726,1,6,2,2,0,1,0,No
311,5981,2364,1320,2,6,3,1,1,1,0,No
282.5,6000,2116,1726,1,5,3,1,1,1,0,No
301.2,5658,2640,1464,1.5,7,3,1,1,1,0,No
298.8,5963,2592,1469,1.5,6,3,2,0,1,1,No
317.8,6197,2294,2059,1,6,3,1,0,1,1,No
371.9,5695,2712,1469,1.5,6,2,2,1,1,0,No
275.9,7548,2552,1075,1,6,2,1,0,1,1,No
297.7,5700,2936,1641,1.5,6,2,2,0,1,0,No
332.4,7889,3588,1939,1.5,8,4,2,0,1,1,No
297.1,7917,2016,1487,1,7,3,1,1,1,0,No
323.5,7912,2842,1469,1.5,7,3,2,0,1,0,No
306.4,5273,2451,1075,1,6,2,1,1,1,1,Some
306.3,5914,2120,1726,1,8,4,2,0,1,0,No
280.6,4410,1944,1404,1,6,3,1,1,1,0,No
292.4,4463,2298,1404,1,6,3,1,0,1,0,No
307.2,6691,2400,1863,1,6,3,1,1,2,0,No
275.5,4800,2392,1109,1,6,3,1,0,1,1,No
259.1,5273,2796,1155,1,6,2,1,0,1,1,No
267.3,4298,2623,1128,1,7,3,1,1,1,1,No
334.9,4860,3314,1792,2,7,3,1,1,1,0,No
300.1,5608,2311,1125,1,5,3,1,0,1,0,No
332.4,9820,2600,1306,1.5,6,2,1,0,1,1,Yes
278.1,11541,3508,1779,1.5,5,2,1,0,1,0,No
350.3,4654,3256,1755,1.5,9,4,2,0,1,0,No
353.3,6203,2160,1870,1,8,3,1,1,1,0,No
213.4,1696,2496,1518,2,7,4,1,0,1,0,No
297.9,5759,2624,1306,1.5,7,4,1,1,1,0,Yes
316.7,6004,2845,1726,1,7,3,1,1,1,0,Yes
339,10370,2836,1435,1.5,7,3,2,0,1,0,No
340.1,5712,3336,2036,2,7,3,1,1,1,1,No
264.5,5963,2041,1008,1,7,3,1,0,1,0,No
281.9,5739,2100,1726,1,7,3,1,1,1,0,No
312.7,5633,2732,1469,1.5,6,2,2,0,1,1,No
290,7280,2160,1487,1,5,3,1,1,1,0,No
267,3138,2468,1520,2,6,3,1,1,1,0,No
289.8,4253,2792,1428,1.5,7,3,1,0,1,1,No
295.5,6298,2218,1726,1,6,3,1,1,1,0,No
298.1,6506,2160,1966,1,8,3,1,1,1,0,No
288.2,4159,2356,1306,1.5,6,2,1,0,1,1,No
281.9,8318,2376,1075,1,6,3,1,0,1,1,No
276.3,7439,2459,1075,1,6,3,1,0,1,1,No
329.7,19466,2563,1075,1,7,3,1,1,1,1,No
286.5,4272,3084,1512,1,8,3,1,1,1,1,No
348,10493,2204,1320,2,7,3,1,1,1,0,No
289.4,5211,2085,984,1,6,2,1,0,1,1,No
325.5,6083,2422,1472,2,7,3,1,1,1,0,Some
306,6031,2116,1966,1,8,3,1,1,2,0,No
309.2,6000,2424,1870,1,9,4,1,1,1,0,No
293.2,7035,2032,978,1,5,3,1,0,1,1,No
295.7,5836,2736,1469,1.5,7,3,2,0,1,0,No
282.6,5963,2136,1008,1,7,3,1,1,1,0,No
342.5,3500,2520,1536,1.5,5,2,2,0,1,0,Yes
204.1,3854,2022,962,2,6,3,1,1,1,0,No
346.5,7680,2581,1354,1.5,6,2,1,1,1,1,No
290.3,4047,2328,1440,2,7,4,2,0,1,1,No
273.1,5356,1968,941,1,5,2,1,0,1,1,No
298.7,4310,2640,1428,1.5,6,2,1,1,1,1,No
325.7,6895,2066,1966,1,7,3,1,1,1,0,No
338.3,6406,2066,1726,1,8,4,2,0,1,0,Yes
265.9,6946,2339,1075,1,6,3,1,0,1,1,No
198.4,3228,1755,1006,1.5,6,3,1,0,1,0,No
298.6,6935,2628,1469,1.5,6,2,2,0,1,0,No
326.8,6690,2900,1308,1,7,3,1,1,1,1,No
350,6900,2904,1961,1,6,3,3,0,1,1,No
319.2,6315,2220,1726,1,7,3,2,0,2,0,No
398.2,10044,2180,1726,1,6,3,1,1,1,0,Yes
273.4,7931,2376,1075,1,6,3,1,0,1,1,Yes
288.4,6000,2512,1487,1,5,2,1,0,1,0,No
304.9,6858,1808,1133,2,7,3,1,0,1,0,No
313.4,6031,2484,1993,1,9,3,1,1,2,0,No
269.82,10947,2384,1237,1.5,6,3,1,1,1,0,No
203.7,2174,2952,1382,1,7,3,1,0,1,0,No
288.2,4050,3224,1456,1,6,3,1,0,1,1,Some
262.4,4911,2084,1020,1,5,3,1,0,1,1,No
